PLAYER,TEAM,AGE,HEIGHT,WEIGHT,POS,BODY FAT %,HAND LENGTH (INCHES),HAND WIDTH (INCHES),HEIGHT W/O SHOES,HEIGHT W/ SHOES,STANDING REACH,WEIGHT (LBS),WINGSPAN
Jordan Bone,DET,22,6'3,180,SG,5.00%,7.5,9.25,6' 1.5'',6' 2.75'',7' 11'',179,6' 3.25''
Jordan Clarkson,UTA,28,6'4,194,PG,4.30%,8.25,9,6' 3.25'',6' 5'',8' 2'',186.3,6' 8''
Jordan McRae,DET,29,6'5,179,SG,5.20%,8.75,8.5,6' 3.75'',6' 5.25'',8' 8'',179.4,7' 0.5''
Jordan Poole,GSW,21,6'4,194,SG,7.50%,8.25,8.5,6' 3.5'',6' 5.5'',8' 3.5'',190.8,6' 6.75''
Josh Hart,NOP,25,6'5,215,SG-SF,5.80%,8.5,9.5,6' 3.75'',6' 5'',8' 5'',209.2,6' 8.25''
Josh Okogie,MIN,21,6'4,213,SG,5.20%,9,9.75,6' 3'',6' 4.5'',8' 6'',210.8,7' 0''
Jrue Holiday,NOP,30,6'3,205,PG-SG,6.30%,-,-,6' 3.25'',6' 4.25'',8' 4.5'',199,6' 7''
Julius Randle,NYK,25,6'8,250,PF,9.40%,8.75,8.25,6' 7.75'',6' 9'',8' 9.5'',249.7,7' 0''
Justin Anderson,BKN,26,6'5,231,SF-SG,5.00%,8.5,9.5,6' 5.25'',6' 6.25'',8' 5'',230.6,6' 11.75''
Justin Jackson,DAL,25,6'7,220,PF,8.90%,9,9.5,6' 6'',6' 6.75'',8' 9'',229.4,7' 3''
Justin Patton,DET,23,6'11,241,C,7.80%,8.75,9.75,6' 10'',6' 11.25'',9' 3.5'',229,7' 3''
Justise Winslow,MEM,24,6'6,222,SF,5.30%,8.5,9.25,6' 4.5'',6' 6.5'',8' 8.5'',221.8,6' 10.25''
KZ Okpala,MIA,21,6'8,215,SF,4.60%,9.25,9.25,6' 7.25'',6' 9.5'',8' 10.5'',209.6,7' 1.75''
Kadeem Allen,NYK,27,6'1,200,PG,6.40%,8.5,8.75,6' 1'',6' 2.25'',8' 3.5'',192.4,6' 9.25''
Kawhi Leonard,LAC,29,6'7,225,SF,5.40%,9.75,11.25,6' 6'',6' 7'',8' 10'',227.4,7' 3''
Keldon Johnson,SAS,20,6'5,220,SG,5.60%,8,9.25,6' 4.75'',6' 6'',8' 8'',216.4,6' 9.25''
Kelly Olynyk,MIA,29,6'11,240,PF-C,6.65%,8.5,10,6' 10.75'',7' 0'',9' 0'',234,6' 9.75''
Kemba Walker,BOS,30,6'0,184,PG,5.90%,8,9,5' 11.5'',6' 1'',7' 7.5'',184,6' 3.5''
Kenrich Williams,NOP,25,6'6,210,SF,5.95%,8.5,9.75,6' 6'',6' 7.5'',8' 7.5'',200.4,6' 7.25''
Kevin Hervey,OKC,23,6'9,230,PF,5.15%,9.25,10.25,6' 6.5'',6' 7.75'',8' 11'',211.6,7' 3.5''
Kevin Huerter,ATL,21,6'7,190,SG,8.60%,8.25,8.5,6' 6.25'',6' 7.25'',8' 5.5'',194,6' 7.5''
Kevin Love,CLE,31,6'8,251,PF,12.90%,-,-,6' 7.75'',6' 9.5'',8' 10'',255,6' 11.25''
Kevin Porter Jr.,CLE,20,6'4,203,SG,5.10%,8.75,8.75,6' 4'',6' 5.5'',8' 7'',212.6,6' 9''
Kevon Looney,GSW,24,6'9,222,PF,11.90%,9.5,9.25,6' 8'',6' 9.25'',9' 2'',222.4,7' 3.5''
Khem Birch,ORL,27,6'9,233,PF,6.00%,9,8.5,6' 7.5'',6' 9.25'',8' 11'',208.8,7' 1''
Khris Middleton,MIL,28,6'7,222,SF,7.80%,9,9,6' 6.75'',6' 8.25'',8' 7'',216.2,6' 10.75''
Khyri Thomas,DET,24,6'3,210,SG,6.40%,8.75,9.25,6' 2.5'',6' 3.75'',8' 5'',198.8,6' 10.5''
Kostas Antetokounmpo,LAL,22,6'10,200,PF,5.00%,9.25,9.5,6' 9'',6' 10.5'',9' 2'',194.8,7' 2.25''
Kris Dunn,CHI,26,6'3,205,PG,-%,-,-,6' 3'',6' 4.25'',8' 4'',0,6' 9.5''
Ky Bowman,GSW,23,6'1,187,PG,4.90%,8.25,9,6' 1'',6' 2.25'',8' 2'',181.2,6' 7''
Kyle Anderson,MEM,26,6'9,230,SF,13.35%,8.25,8.75,6' 7.5'',6' 8.5'',8' 11.5'',230.1,7' 2.75''
Kyle Guy,SAC,22,6'1,167,SG,5.70%,8,8.75,6' 0.75'',6' 2.25'',7' 11.5'',167.8,6' 4.5''
Kyle Korver,MIL,39,6'7,212,SF,6.70%,-,-,6' 6.25'',,8' 6.5'',211,6' 9.5''
Kyle Kuzma,LAL,24,6'8,221,SF-SG,9.40%,8.5,9.5,6' 8'',6' 9.5'',8' 11.5'',222.6,7' 0.25''
Kyle O'Quinn,PHI,30,6'9,250,PF,8.00%,9.5,10,6' 8.5'',6' 10'',8' 10.5'',240.8,7' 4.75''
Kyrie Irving,BKN,28,6'2,195,PG,10.20%,8.25,9.25,6' 1.75'',6' 3.5'',8' 3'',191,6' 4''
LaMarcus Aldridge,SAS,34,6'11,250,PF-C,8.70%,-,-,6' 10'',6' 11.25'',9' 2'',234,7' 4.75''
Landry Shamet,LAC,23,6'4,190,PG,4.85%,8,9,6' 4'',6' 5.25'',8' 4'',188.6,6' 6.75''
LeBron James,LAL,35,6'9,250,SF-SG,6.70%,-,-,6' 7.25'',,8' 10.25'',245,7' 0.25''
Louis King,DET,21,6'7,205,SF,4.80%,8,8.5,6' 6.75'',6' 8'',8' 8.5'',195.2,7' 0.25''
Luguentz Dort,OKC,21,6'3,215,PG,5.00%,8.5,9,6' 2.75'',6' 4.25'',8' 3.5'',222.2,6' 8.5''
Luka Samanic,SAS,20,6'10,227,PF,5.60%,8.5,9,6' 9.5'',6' 11'',8' 11'',227.2,6' 10.5''
Luke Kennard,DET,24,6'5,206,SG-SF,6.60%,8,8.75,6' 4.5'',6' 5.5'',8' 2.5'',196.2,6' 5.25''
Malcolm Brogdon,IND,27,6'5,229,SG,5.40%,9,10.25,6' 3.75'',6' 5.5'',8' 2'',223,6' 10.5''
Malik Beasley,MIN,23,6'4,187,SG,6.90%,8.5,9,6' 3.5'',6' 4.5'',8' 4.5'',189.8,6' 7''
Malik Newman,CLE,23,6'3,190,SG,6.25%,8.5,9.5,6' 2.5'',6' 3.25'',8' 2.5'',189.2,6' 5.5''
Marcus Smart,BOS,26,6'3,220,PG,10.55%,9,8.75,6' 2'',6' 3.25'',8' 3'',227.2,6' 9.25''
Marial Shayok,PHI,24,6'5,198,SF-PF,4.70%,8.75,9.25,6' 4.5'',6' 5.5'',8' 7.5'',196.8,7' 0.25''
Markelle Fultz,ORL,22,6'3,209,PG,-%,-,-,,,,-,
Markieff Morris,LAL,30,6'8,245,PF,10.20%,8.5,8.25,6' 7.75'',6' 9.25'',8' 10.5'',240.8,6' 10.75''
Marquese Chriss,GSW,22,6'9,240,PF,8.50%,9,9,6' 8.75'',6' 10'',8' 9'',233,7' 0.25''
Marvin Williams,MIL,34,6'8,237,PF-SF,-%,-,-,6' 7'',6' 8.25'',9' 0'',228.2,7' 3.5''
Mason Plumlee,DEN,30,6'11,254,C-PF,6.15%,9.75,9.5,6' 11.25'',7' 0.5'',9' 0'',238.2,6' 11''
Maurice Harkless,NYK,27,6'7,220,SF,5.30%,9.25,10.25,6' 7.25'',6' 8.75'',8' 6.5'',206.6,7' 0''
Meyers Leonard,MIA,28,7'0,260,C,5.70%,9.25,11,6' 11.75'',7' 1.25'',9' 0'',249.8,7' 3''
Mfiondu Kabengele,LAC,22,6'9,250,PF,5.10%,9.25,10.75,6' 8.75'',6' 10.25'',9' 1.5'',256.2,7' 3''
Mike Conley,UTA,32,6'1,175,PG,4.20%,-,-,5' 11'',6' 0.75'',7' 10.5'',175,6' 5.75''
Mike Muscala,OKC,28,6'10,240,C-PF,6.80%,8.5,9,6' 10.25'',6' 11.5'',9' 0'',230.2,7' 1''
Mike Scott,PHI,31,6'7,237,PF,10.60%,8.5,9,6' 7.25'',6' 8.75'',8' 8'',240.8,6' 10.75''
Miles Bridges,CHA,22,6'6,225,SF,5.90%,9,9.75,6' 5.25'',6' 6.75'',8' 7.5'',220.4,6' 9.5''
Miye Oni,UTA,22,6'5,206,SG,4.90%,9,10,6' 4.25'',6' 5.75'',8' 4.5'',205.6,6' 10.75''
Monte Morris,DEN,25,6'2,183,PG,6.90%,8.25,8.75,6' 1.25'',6' 2.5'',8' 0.5'',175.2,6' 4''
Montrezl Harrell,LAC,26,6'7,240,PF,11.90%,9,9.75,6' 7'',6' 7.5'',9' 1'',253.4,7' 4.25''
Moritz Wagner,WAS,23,6'11,245,C-PF,6.75%,9,10.75,6' 10.5'',6' 11.5'',9' 0'',241.4,7' 0''
Moses Brown,POR,20,7'2,245,C,7.80%,9.5,10.25,7' 1.25'',7' 2.5'',9' 5'',237.2,7' 4.75''
Myles Turner,IND,24,6'11,250,C-PF,9.30%,9.25,9.25,6' 9.75'',6' 11.5'',9' 4'',238.6,7' 4''
Nassir Little,POR,20,6'5,220,SF,5.90%,8.75,10,6' 4.5'',6' 6'',8' 8.5'',224.2,7' 1.25''
Naz Reid,MIN,20,6'9,264,PF,14.00%,9.5,9.25,6' 8.75'',6' 9.5'',9' 1'',255.8,7' 3.25''
Nerlens Noel,OKC,26,6'10,220,C,4.15%,9.5,10,6' 10'',6' 11.75'',9' 2'',206.4,7' 3.75''
Nicolas Claxton,BKN,21,6'11,215,C,4.50%,9.25,9.5,6' 10'',6' 11.75'',9' 2'',216.6,7' 2.5''
Nikola Vucevic,ORL,29,6'11,260,PF-C,6.10%,9.25,10.25,6' 10.25'',6' 11.75'',9' 4.5'',259.8,7' 4.5''
Noah Vonleh,DEN,24,6'10,257,PF,7.30%,9.75,11.75,6' 8'',6' 9.5'',9' 0'',247.1,7' 4.25''
Norman Powell,TOR,27,6'3,215,SG,6.40%,9.25,9,6' 3'',6' 4.25'',8' 6.5'',215.4,6' 10.75''
Norvel Pelle,PHI,27,6'10,231,PF-C,5.15%,8.75,9.5,6' 9.5'',6' 10.5'',9' 1'',207.2,7' 2.5''
OG Anunoby,TOR,22,6'7,232,SF,6.80%,9.25,9.5,6' 6.25'',6' 7.75'',8' 11.5'',232.4,7' 2.25''
Omari Spellman,MIN,22,6'8,245,PF-C,13.75%,9,9,6' 8'',6' 9.25'',8' 11.5'',253.8,7' 2''
P.J. Washington,CHA,21,6'7,230,PF,8.60%,9,10.25,6' 6.5'',6' 8'',8' 10.5'',230.4,7' 2.25''
PJ Dozier,DEN,23,6'6,205,SG,6.10%,8.5,9.5,6' 5.25'',6' 6.75'',8' 5'',200.6,6' 11''
Pascal Siakam,TOR,26,6'9,230,PF,5.20%,9.25,10,6' 8.25'',6' 9.5'',8' 11.5'',226.6,7' 3.25''
Pat Connaughton,MIL,27,6'5,209,SG,10.20%,8.5,9.25,6' 4'',6' 5.25'',8' 0'',215,6' 8''
Patrick McCaw,TOR,24,6'7,181,PG-SG,4.70%,8.75,8.75,6' 5.25'',6' 6.75'',8' 4.5'',180.8,6' 10''
Patrick Patterson,LAC,31,6'8,235,PF,5.30%,9.25,10.25,6' 8'',6' 9.25'',8' 11'',239.6,7' 1.25''
Patty Mills,SAS,31,6'1,180,PG,6.90%,-,-,5' 11.25'',6' 0.5'',7' 11'',175.4,6' 2''
Paul George,LAC,30,6'8,220,SF,5.00%,8.5,9,6' 7.75'',6' 8.75'',8' 11'',214.4,6' 11.25''
Paul Millsap,DEN,35,6'7,257,PF,9.70%,-,-,6' 6.25'',6' 7.25'',8' 9.5'',258,7' 1.5''
Quinn Cook,LAL,27,6'1,180,PG,6.70%,7.5,8.75,6' 0.25'',6' 2'',8' 0.5'',179,6' 4''
Quinndary Weatherspoon,SAS,23,6'3,205,SG,6.10%,8.5,9,6' 3'',6' 4.25'',8' 4'',206.6,6' 9''
RJ Barrett,NYK,20,6'6,214,SF,-%,-,-,,,,-,
Reggie Bullock,NYK,29,6'6,205,SG-SF,6.95%,8.5,9,6' 5.75'',6' 7'',8' 6'',199.8,6' 8.75''
Richaun Holmes,SAC,26,6'10,235,PF,8.80%,8.5,8.5,6' 8.25'',6' 9.5'',9' 0'',242.8,7' 1.5''
Robert Covington,HOU,29,6'7,209,SF-PF,4.70%,9,8.5,6' 6.25'',6' 7.5'',8' 10'',208.6,7' 1.75''
Rodney Hood,POR,27,6'8,208,SF,7.45%,8.5,8.5,6' 7.25'',6' 8.5'',8' 7'',208.2,6' 8.5''
Romeo Langford,BOS,20,6'4,216,SG,-%,9,9,6' 4.5'',6' 6'',8' 7'',-,6' 11''
Rudy Gay,SAS,33,6'8,250,SF-PF,5.70%,-,-,6' 7'',6' 8'',8' 11.5'',222,7' 3''
Rudy Gobert,UTA,28,7'1,258,C,4.40%,9.75,10,7' 0.5'',7' 2'',9' 7'',237.6,7' 8.5''
Russell Westbrook,HOU,31,6'3,200,PG,4.80%,-,-,6' 2.25'',6' 3.5'',8' 4'',192,6' 7.75''
Semi Ojeleye,BOS,25,6'6,240,SF-SG,5.50%,8.75,9.5,6' 5.25'',6' 6.75'',8' 6'',241.4,6' 9.75''
Seth Curry,DAL,29,6'2,185,SG,9.60%,8,8.25,6' 1'',6' 3'',8' 1.5'',179.2,6' 4''
Shabazz Napier,WAS,28,6'0,175,PG,7.35%,8.25,8.5,5' 11'',6' 1'',7' 9'',175.2,6' 3.25''
Shake Milton,PHI,23,6'5,205,SG-PG,6.80%,8.75,9.5,6' 4.5'',6' 5.5'',8' 3.5'',207.2,7' 0.75''
Shamorie Ponds,HOU,22,6'1,180,PG,9.80%,7.75,8,5' 11.5'',6' 0.5'',8' 0.5'',180,6' 3.5''
Skal Labissiere,ATL,24,6'10,235,PF-C,5.70%,8.75,9,6' 10.5'',6' 11.75'',8' 9.5'',215.8,7' 2.5''
Solomon Hill,MIA,29,6'6,226,SF,7.60%,9,10.5,6' 5.5'',6' 7'',8' 7'',226,6' 9''
Spencer Dinwiddie,BKN,27,6'5,215,PG,5.35%,8.25,9,6' 4.5'',6' 6'',8' 7'',204.9,6' 8.25''
Stanley Johnson,TOR,24,6'6,242,SF,7.50%,9,9,6' 5'',6' 6.5'',8' 6'',241.8,6' 11.5''
Stephen Curry,GSW,32,6'3,185,PG-SG,5.70%,-,-,6' 2'',6' 3.25'',8' 1'',181,6' 3.5''
Steven Adams,OKC,26,6'11,265,C,6.65%,9.5,11,6' 10.75'',7' 0'',9' 1.5'',254.5,7' 4.5''
Svi Mykhailiuk,DET,23,6'7,205,SG-SF,11.40%,8,9.25,6' 6.5'',6' 7.5'',8' 4'',219.6,6' 5''
T.J. Warren,IND,26,6'8,220,SF,7.95%,8.75,9,6' 7'',6' 8.25'',8' 8'',220.2,6' 10.25''
TJ Leaf,IND,23,6'10,222,PF,6.80%,8.5,9.5,6' 8.75'',6' 9.75'',8' 11'',222.2,6' 11''
Tacko Fall,BOS,24,7'5,311,C,6.80%,10.5,10.5,7' 5.25'',7' 7'',10' 2.5'',288.8,8' 2.25''
Taj Gibson,NYK,35,6'9,232,PF,6.60%,-,-,6' 8.5'',6' 9.75'',9' 1'',214.4,7' 4''
Taurean Prince,BKN,26,6'7,218,SF,6.45%,9,8.5,6' 6.5'',6' 7.75'',8' 6'',220.2,6' 11.5''
Terance Mann,LAC,23,6'5,215,SG-SF,4.00%,9.5,9.25,6' 4.75'',6' 6.5'',8' 5'',204.6,6' 7.75''
Terence Davis,TOR,23,6'4,201,SG,4.10%,9.25,10.75,6' 3'',6' 4.5'',8' 5'',192.4,6' 8.75''
Terrance Ferguson,OKC,22,6'6,190,SG-SF,5.80%,8.5,10,6' 5.5'',6' 7'',8' 7'',184.4,6' 8.75''
Terrence Ross,ORL,29,6'6,206,SG-SF,3.20%,8.75,10.25,6' 6'',6' 7'',8' 4.5'',196.6,6' 7.25''
Terry Rozier,CHA,26,6'1,190,PG-SG,5.60%,8.25,8.5,6' 0.5'',6' 2.25'',8' 2.5'',190.2,6' 8.25''
Thaddeus Young,CHI,32,6'8,235,SF,4.90%,-,-,6' 5.75'',6' 7.5'',8' 10'',210,6' 11.5''
Thanasis Antetokounmpo,MIL,27,6'6,219,SF,6.05%,9,9.75,6' 5.25'',6' 6.25'',8' 8.5'',205.2,7' 0''
Theo Pinson,NYK,24,6'5,212,SG-SF,7.35%,9,9,6' 5'',6' 6.75'',8' 7.5'',211.2,6' 10.75''
Thomas Bryant,WAS,22,6'10,248,PF-C,9.40%,9.5,10.25,6' 9.5'',6' 10.75'',9' 4.5'',247.8,7' 6''
Thon Maker,DET,23,7'0,221,PF,6.05%,8.75,9.5,6' 11.75'',7' 0.75'',9' 2.5'',216,7' 3''
Tim Hardaway Jr.,DAL,28,6'5,205,SG,6.05%,8,9.25,6' 4.5'',6' 6.25'',8' 5'',199.4,6' 7''
Tobias Harris,PHI,27,6'8,226,SF-PF,8.40%,8.75,9,6' 6.5'',6' 7.75'',8' 7.5'',222.8,6' 11''
Tomas Satoransky,CHI,28,6'7,210,PG-SG,5.20%,8.5,9.5,6' 6.5'',6' 7.5'',8' 4'',200.6,6' 7.25''
Tony Bradley,UTA,22,6'10,248,C,12.00%,9.5,9.5,6' 9.25'',6' 10.75'',9' 4.5'',248.8,7' 5''
Tony Snell,DET,28,6'6,213,SF-SG,4.85%,9,9.5,6' 6'',6' 7.25'',8' 9.5'',198.2,6' 11.5''
Trae Young,ATL,21,6'1,180,PG,5.35%,8,9.25,6' 0.5'',6' 1.75'',7' 11.5'',177.8,6' 3''
Tremont Waters,BOS,22,5'10,175,PG,6.60%,8,9.75,5' 9.5'',5' 10.75'',7' 9.5'',172.4,6' 2.25''
Treveon Graham,ATL,26,6'5,219,SF,5.50%,8.5,8.25,6' 4'',6' 5.75'',8' 7'',219.4,6' 10.5''
Trevor Ariza,POR,35,6'8,215,SG-SF,8.00%,-,-,6' 7'',6' 8.25'',8' 11.5'',201,7' 2''
Trey Burke,DAL,27,6'0,185,PG,6.90%,8.25,8.75,5' 11.75'',6' 1.25'',8' 1.5'',187,6' 5.5''
Trey Lyles,SAS,24,6'9,234,PF,12.10%,9.25,10.25,6' 9'',6' 10.25'',9' 0'',241.2,7' 1.5''
Tristan Thompson,CLE,29,6'9,254,PF,6.20%,8.75,9.25,6' 7.5'',6' 8.75'',9' 0.5'',227.4,7' 1.25''
Ty Jerome,PHX,22,6'5,195,PG,6.50%,8.25,9.5,6' 4.25'',6' 5.5'',8' 2'',194.4,6' 4''
Tyler Cook,DEN,22,6'8,255,PF,6.10%,9.5,10.75,6' 7.25'',6' 8.75'',8' 10.5'',245.4,7' 0.5''
Tyler Herro,MIA,20,6'5,195,SG,7.10%,8,8.75,6' 4.5'',6' 6'',8' 4.5'',192.4,6' 3.25''
Tyson Chandler,HOU,37,7'0,235,SF-PF,6.70%,-,-,6' 11.5'',,9' 2'',224,7' 3''
Tyus Jones,MEM,24,6'0,196,PG,6.50%,8.25,8.75,6' 0.5'',6' 2'',8' 1'',184.6,6' 5''
Udonis Haslem,MIA,40,6'8,235,PF,-%,-,-,6' 7.75'',,8' 11'',250,6' 11''
Victor Oladipo,IND,28,6'4,213,SG,6.55%,8.75,9.25,6' 3.25'',6' 4.25'',8' 4.5'',213.2,6' 9.25''
Wayne Ellington,NYK,32,6'4,207,SG,5.50%,-,-,6' 4.25'',6' 5.25'',8' 4'',202.4,6' 6.5''
Will Barton,DEN,29,6'5,181,SG-SF,4.10%,9,9.5,6' 5'',6' 6'',8' 6.5'',174.4,6' 9.75''
Zach Collins,POR,22,6'11,250,PF-C,8.90%,8.75,9.25,6' 10.25'',7' 0'',9' 3'',232.2,7' 1''
Zach LaVine,CHI,25,6'6,200,PG,4.70%,8.25,8.75,6' 4.5'',6' 5.75'',8' 4'',180.9,6' 8.25''
Zach Norvell Jr.,LAL,22,6'5,205,SG,7.50%,8.5,9.5,6' 4.5'',6' 5.5'',8' 5'',206.4,6' 6''
Zhaire Smith,PHI,21,6'3,205,SF-SG,6.05%,8.75,8.25,6' 2.75'',6' 4'',8' 4'',198.6,6' 9.75''
Zion Williamson,NOP,19,6'6,284,PF,-%,-,-,,,,-,
