PLAYER,TEAM,AGE,HEIGHT,WEIGHT,
Aaron Gordon,ORL,24,6'8,235,
Aaron Holiday,IND,23,6'0,185,
Abdel Nader,OKC,26,6'5,225,
Adam Mokoka,CHI,21,6'5,190,
Admiral Schofield,WAS,23,6'5,241,
Al Horford,PHI,34,6'9,240,
Al'Farouq Aminu,ORL,29,6'8,220,
Alec Burks,PHI,28,6'6,214,
Alen Smailagic,GSW,19,6'10,215,
Alex Caruso,LAL,26,6'5,186,
Alex Len,SAC,27,7'0,250,
Alfonzo McKinnie,CLE,27,6'7,215,
Alize Johnson,IND,24,6'7,212,
Allen Crabbe,MIN,28,6'5,212,
Allonzo Trier,NYK,24,6'4,200,
Amile Jefferson,ORL,27,6'9,222,
Amir Coffey,LAC,23,6'7,210,
Andre Drummond,CLE,26,6'10,279,
Andre Iguodala,MIA,36,6'6,215,
Andrew Wiggins,GSW,25,6'7,197,
Anfernee Simons,POR,21,6'3,181,
Ante Zizic,CLE,23,6'10,266,
Anthony Davis,LAL,27,6'10,253,
Anthony Tolliver,MEM,35,6'8,240,
Antonius Cleveland,DAL,26,6'5,195,
Anzejs Pasecniks,WAS,24,7'2,229,
Aron Baynes,PHX,33,6'10,260,
Austin Rivers,HOU,27,6'3,200,
Avery Bradley,LAL,29,6'3,180,
BJ Johnson,ORL,24,6'7,200,
Bam Adebayo,MIA,22,6'9,255,
Ben McLemore,HOU,27,6'3,195,
Ben Simmons,PHI,23,6'10,240,
Bismack Biyombo,CHA,27,6'8,255,
Blake Griffin,DET,31,6'9,250,
Boban Marjanovic,DAL,31,7'4,290,
Bobby Portis,NYK,25,6'10,250,
Bogdan Bogdanovic,SAC,27,6'6,220,
Bojan Bogdanovic,UTA,31,6'8,226,
Brad Wanamaker,BOS,30,6'3,210,
Bradley Beal,WAS,27,6'3,207,
Brandon Clarke,MEM,23,6'8,215,
Brandon Goodwin,ATL,24,6'0,180,
Brandon Ingram,NOP,22,6'7,190,
Brandon Knight,DET,28,6'2,182,
Brian Bowen II,IND,21,6'6,190,
Brook Lopez,MIL,32,7'0,282,
Bruce Brown,DET,23,6'4,202,
Bruno Caboclo,HOU,24,6'9,218,
Bruno Fernando,ATL,21,6'9,240,
Bryn Forbes,SAS,26,6'2,205,
Buddy Hield,SAC,27,6'4,220,
CJ McCollum,POR,28,6'3,190,
CJ Miles,WAS,33,6'6,220,
Caleb Martin,CHA,24,6'5,205,
Caleb Swanigan,POR,23,6'9,260,
Cam Reddish,ATL,20,6'8,218,
Cameron Johnson,PHX,24,6'8,210,
Caris LeVert,BKN,25,6'6,205,
Carmelo Anthony,POR,36,6'8,238,
Carsen Edwards,BOS,22,5'11,200,
Cedi Osman,CLE,25,6'7,230,
Chandler Hutchison,CHI,24,6'7,210,
Chandler Parsons,ATL,31,6'9,230,
Charles Brown Jr.,ATL,23,6'6,199,
Chasson Randle,GSW,27,6'2,185,
Cheick Diallo,PHX,23,6'8,219,
Chimezie Metu,SAS,23,6'9,225,
Chris Boucher,TOR,27,6'9,200,
Chris Chiozza,BKN,24,5'11,175,
Chris Clemons,HOU,22,5'9,180,
Chris Paul,OKC,35,6'1,175,
Chris Silva,MIA,23,6'8,234,
Christian Wood,DET,24,6'10,214,
Clint Capela,ATL,26,6'10,240,
Coby White,CHI,20,6'4,195,
Cody Martin,CHA,24,6'5,205,
Cody Zeller,CHA,27,7'0,240,
Collin Sexton,CLE,21,6'1,190,
Cory Joseph,SAC,28,6'3,200,
Courtney Lee,DAL,34,6'5,215,
Cristiano Felicio,CHI,27,6'10,270,
D'Angelo Russell,MIN,24,6'4,193,
D.J. Augustin,ORL,32,5'11,183,
D.J. Wilson,MIL,24,6'10,231,
DaQuan Jeffries,SAC,22,6'5,230,
Damian Jones,ATL,25,6'11,245,
Damian Lillard,POR,29,6'2,195,
Damion Lee,GSW,27,6'5,210,
Damyean Dotson,NYK,26,6'5,210,
Daniel Gafford,CHI,21,6'10,234,
Daniel Theis,BOS,28,6'8,245,
Danilo Gallinari,OKC,31,6'10,233,
Danny Green,LAL,33,6'6,215,
Dante Exum,CLE,24,6'5,214,
Danuel House Jr.,HOU,27,6'6,220,
Dario Saric,PHX,26,6'10,225,
Darius Bazley,OKC,20,6'8,208,
Darius Garland,CLE,20,6'1,192,
Daryl Macon,MIA,24,6'2,185,
David Nwaba,HOU,27,6'5,219,
Davis Bertans,WAS,27,6'10,225,
De'Aaron Fox,SAC,22,6'3,185,
De'Andre Hunter,ATL,22,6'7,225,
De'Anthony Melton,MEM,22,6'2,200,
DeAndre Jordan,BKN,31,6'11,265,
DeAndre' Bembry,ATL,25,6'5,210,
DeMar DeRozan,SAS,30,6'6,220,
DeMarre Carroll,HOU,33,6'6,215,
Dean Wade,CLE,23,6'9,228,
Deandre Ayton,PHX,21,6'11,250,
Dejounte Murray,SAS,23,6'4,180,
Delon Wright,DAL,28,6'5,185,
Dennis Schroder,OKC,26,6'1,172,
Dennis Smith Jr.,NYK,22,6'2,205,
Denzel Valentine,CHI,26,6'4,220,
Deonte Burton,OKC,26,6'4,240,
Derrick Favors,NOP,28,6'9,265,
Derrick Jones Jr.,MIA,23,6'6,210,
Derrick Rose,DET,31,6'2,200,
Derrick Walton Jr.,LAC,25,6'0,185,
Derrick White,SAS,25,6'4,190,
Devin Booker,PHX,23,6'5,206,
Devon Hall,OKC,24,6'5,215,
Devonte' Graham,CHA,25,6'1,195,
Dewan Hernandez,TOR,23,6'10,235,
Dewayne Dedmon,ATL,30,7'0,245,
Dillon Brooks,MEM,24,6'7,225,
Dion Waiters,LAL,28,6'3,210,
Domantas Sabonis,IND,24,6'11,240,
Donovan Mitchell,UTA,23,6'1,215,
Donta Hall,BKN,22,6'9,229,
Donte DiVincenzo,MIL,23,6'4,203,
Dorian Finney'Smith,DAL,27,6'7,220,
Doug McDermott,IND,28,6'7,225,
Dragan Bender,MIL,22,7'0,249,
Draymond Green,GSW,30,6'6,230,
Drew Eubanks,SAS,23,6'9,245,
Duncan Robinson,MIA,26,6'7,215,
Dusty Hannahs,MEM,26,6'3,210,
Dwayne Bacon,CHA,24,6'6,221,
Dwight Howard,LAL,34,6'10,265,
Dwight Powell,DAL,28,6'10,240,
Dzanan Musa,BKN,21,6'9,217,
E'Twaun Moore,NOP,31,6'3,191,
Ed Davis,UTA,31,6'9,218,
Edmond Sumner,IND,24,6'4,196,
Elfrid Payton,NYK,26,6'3,195,
Elie Okobo,PHX,22,6'3,190,
Emmanuel Mudiay,UTA,24,6'3,200,
Enes Kanter,BOS,28,6'10,250,
Eric Bledsoe,MIL,30,6'1,214,
Eric Gordon,HOU,31,6'3,215,
Eric Mika,SAC,25,6'10,233,
Eric Paschall,GSW,23,6'6,255,
Ersan Ilyasova,MIL,33,6'9,235,
Evan Fournier,ORL,27,6'7,205,
Evan Turner,MIN,31,6'6,220,
Frank Jackson,NOP,22,6'3,205,
Frank Kaminsky,PHX,27,7'0,240,
Frank Mason,MIL,26,5'11,190,
Frank Ntilikina,NYK,21,6'4,200,
Fred VanVleet,TOR,26,6'1,197,
Furkan Korkmaz,PHI,22,6'7,202,
Gabe Vincent,MIA,24,6'3,200,
Garrett Temple,BKN,34,6'5,195,
Garrison Mathews,WAS,23,6'5,215,
Gary Clark,ORL,25,6'6,225,
Gary Harris,DEN,25,6'4,210,
Gary Payton II,WAS,27,6'3,195,
Gary Trent Jr.,POR,21,6'5,209,
George Hill,MIL,34,6'3,188,
Georges Niang,UTA,27,6'7,230,
Giannis Antetokounmpo,MIL,25,6'11,242,
Glenn Robinson III,PHI,26,6'6,222,
Goga Bitadze,IND,20,6'11,250,
Goran Dragic,MIA,34,6'3,190,
Gordon Hayward,BOS,30,6'7,225,
Gorgui Dieng,MEM,30,6'10,252,
Grant Williams,BOS,21,6'6,236,
Grayson Allen,MEM,24,6'4,198,
Hamidou Diallo,OKC,21,6'5,202,
Harrison Barnes,SAC,28,6'8,225,
Harry Giles III,SAC,22,6'11,240,
Hassan Whiteside,POR,31,7'0,265,
Henry Ellenson,BKN,23,6'10,240,
Ian Mahinmi,WAS,33,6'11,262,
Ignas Brazdeikis,NYK,21,6'6,221,
Iman Shumpert,BKN,30,6'5,212,
Isaac Bonga,WAS,20,6'8,180,
Isaiah Hartenstein,HOU,22,7'0,250,
Isaiah Roby,OKC,22,6'8,230,
Isaiah Thomas,WAS,31,5'9,185,
Ish Smith,WAS,31,6'0,175,
Ivica Zubac,LAC,23,7'0,240,
J.J. Barea,DAL,36,5'10,180,
J.P. Macura,CLE,25,6'4,203,
JJ Redick,NOP,36,6'3,200,
Ja Morant,MEM,20,6'3,174,
JaKarr Sampson,IND,27,6'7,214,
JaMychal Green,LAC,30,6'8,227,
JaVale McGee,LAL,32,7'0,270,
Jabari Parker,SAC,25,6'8,245,
Jacob Evans,MIN,23,6'4,210,
Jae Crowder,MIA,29,6'6,235,
Jahlil Okafor,NOP,24,6'10,270,
Jake Layman,MIN,26,6'8,209,
Jakob Poeltl,SAS,24,7'1,245,
Jalen Brunson,DAL,23,6'1,190,
Jalen Lecque,PHX,20,6'4,185,
Jalen McDaniels,CHA,22,6'10,205,
Jamal Murray,DEN,23,6'4,215,
James Ennis III,ORL,29,6'6,215,
James Harden,HOU,30,6'5,220,
James Johnson,MIN,33,6'7,240,
Jared Dudley,LAL,34,6'6,237,
Jared Harper,NYK,22,5'10,175,
Jaren Jackson Jr.,MEM,20,6'11,242,
Jarred Vanderbilt,MIN,21,6'9,214,
Jarrell Brantley,UTA,24,6'5,250,
Jarrett Allen,BKN,22,6'11,243,
Jarrett Culver,MIN,21,6'6,195,
Jarrod Uthoff,WAS,27,6'9,220,
Javonte Green,BOS,26,6'4,205,
Jaxson Hayes,NOP,20,6'11,220,
Jaylen Brown,BOS,23,6'6,223,
Jaylen Hoard,POR,21,6'8,216,
Jaylen Nowell,MIN,20,6'4,201,
Jayson Tatum,BOS,22,6'8,210,
Jeff Green,HOU,33,6'8,235,
Jeff Teague,ATL,32,6'3,195,
Jerami Grant,DEN,26,6'8,210,
Jeremiah Martin,BKN,24,6'2,185,
Jeremy Lamb,IND,28,6'5,180,
Jeremy Pargo,GSW,34,6'2,219,
Jerome Robinson,WAS,23,6'4,190,
Jevon Carter,PHX,24,6'1,200,
Jimmy Butler,MIA,30,6'7,230,
Joe Chealey,CHA,24,6'4,190,
Joe Harris,BKN,28,6'6,220,
Joe Ingles,UTA,32,6'7,220,
Joel Embiid,PHI,26,7'0,280,
John Collins,ATL,22,6'9,235,
John Henson,DET,29,6'9,219,
John Konchar,MEM,24,6'5,210,
Johnathan Motley,LAC,25,6'8,230,
Johnathan Williams,WAS,25,6'9,228,
Jonah Bolden,PHI,24,6'8,225,
Jonas Valanciunas,MEM,28,6'11,265,
Jonathan Isaac,ORL,22,6'11,230,
Jordan Bell,CLE,25,6'8,216,
Jordan Bone,DET,22,6'3,180,
Jordan Clarkson,UTA,28,6'4,194,
Jordan McLaughlin,MIN,24,5'11,185,
Jordan McRae,DET,29,6'5,179,
Jordan Poole,GSW,21,6'4,194,
Josh Gray,NOP,26,6'0,180,
Josh Hart,NOP,25,6'5,215,
Josh Jackson,MEM,23,6'8,207,
Josh Magette,ORL,30,6'1,160,
Josh Okogie,MIN,21,6'4,213,
Josh Reaves,DAL,23,6'4,214,
Josh Richardson,PHI,26,6'5,200,
Jrue Holiday,NOP,30,6'3,205,
Juan Toscano'Anderson,GSW,27,6'6,209,
Juancho Hernangomez,MIN,24,6'9,214,
Julius Randle,NYK,25,6'8,250,
Justin Anderson,BKN,26,6'5,231,
Justin Holiday,IND,31,6'6,180,
Justin Jackson,DAL,25,6'7,220,
Justin James,SAC,23,6'7,190,
Justin Patton,DET,23,6'11,241,
Justin Robinson,WAS,22,6'1,195,
Justin Wright'Foreman,UTA,22,6'0,190,
Justise Winslow,MEM,24,6'6,222,
Juwan Morgan,UTA,23,6'7,232,
KZ Okpala,MIA,21,6'8,215,
Kadeem Allen,NYK,27,6'1,200,
Karl'Anthony Towns,MIN,24,6'11,248,
Kawhi Leonard,LAC,29,6'7,225,
Keita Bates'Diop,DEN,24,6'8,229,
Kelan Martin,MIN,24,6'5,230,
Keldon Johnson,SAS,20,6'5,220,
Kelly Olynyk,MIA,29,6'11,240,
Kelly Oubre Jr.,PHX,24,6'7,203,
Kemba Walker,BOS,30,6'0,184,
Kendrick Nunn,MIA,24,6'2,190,
Kenrich Williams,NOP,25,6'6,210,
Kent Bazemore,SAC,30,6'4,195,
Kentavious Caldwell'Pope,LAL,27,6'5,204,
Kevin Hervey,OKC,23,6'9,230,
Kevin Huerter,ATL,21,6'7,190,
Kevin Knox II,NYK,20,6'7,215,
Kevin Love,CLE,31,6'8,251,
Kevin Porter Jr.,CLE,20,6'4,203,
Kevon Looney,GSW,24,6'9,222,
Khem Birch,ORL,27,6'9,233,
Khris Middleton,MIL,28,6'7,222,
Khyri Thomas,DET,24,6'3,210,
Kostas Antetokounmpo,LAL,22,6'10,200,
Kris Dunn,CHI,26,6'3,205,
Kristaps Porzingis,DAL,24,7'3,240,
Ky Bowman,GSW,23,6'1,187,
Kyle Anderson,MEM,26,6'9,230,
Kyle Guy,SAC,22,6'1,167,
Kyle Korver,MIL,39,6'7,212,
Kyle Kuzma,LAL,24,6'8,221,
Kyle Lowry,TOR,34,6'0,196,
Kyle O'Quinn,PHI,30,6'9,250,
Kyrie Irving,BKN,28,6'2,195,
LaMarcus Aldridge,SAS,34,6'11,250,
Landry Shamet,LAC,23,6'4,190,
Langston Galloway,DET,28,6'1,200,
Larry Nance Jr.,CLE,27,6'7,245,
Lauri Markkanen,CHI,23,7'0,240,
LeBron James,LAL,35,6'9,250,
Lonnie Walker IV,SAS,21,6'5,204,
Lonzo Ball,NOP,22,6'6,190,
Lou Williams,LAC,33,6'1,175,
Louis King,DET,21,6'7,205,
Luguentz Dort,OKC,21,6'3,215,
Luka Doncic,DAL,21,6'7,230,
Luka Samanic,SAS,20,6'10,227,
Luke Kennard,DET,24,6'5,206,
Luke Kornet,CHI,24,7'2,250,
Malcolm Brogdon,IND,27,6'5,229,
Malcolm Miller,TOR,27,6'7,210,
Malik Beasley,MIN,23,6'4,187,
Malik Monk,CHA,22,6'3,200,
Malik Newman,CLE,23,6'3,190,
Marc Gasol,TOR,35,6'11,255,
Marco Belinelli,SAS,34,6'5,220,
Marcus Morris Sr.,LAC,30,6'8,218,
Marcus Smart,BOS,26,6'3,220,
Marial Shayok,PHI,24,6'5,198,
Mario Hezonja,POR,25,6'8,220,
Markelle Fultz,ORL,22,6'3,209,
Markieff Morris,LAL,30,6'8,245,
Marko Guduric,MEM,25,6'6,201,
Marques Bolden,CLE,22,6'10,249,
Marquese Chriss,GSW,22,6'9,240,
Marvin Bagley III,SAC,21,6'11,235,
Marvin Williams,MIL,34,6'8,237,
Mason Plumlee,DEN,30,6'11,254,
Matisse Thybulle,PHI,23,6'5,201,
Matt Mooney,CLE,23,6'2,199,
Matt Thomas,TOR,25,6'4,190,
Matthew Dellavedova,CLE,29,6'3,200,
Maurice Harkless,NYK,27,6'7,220,
Max Strus,CHI,24,6'5,215,
Maxi Kleber,DAL,28,6'10,240,
Melvin Frazier Jr.,ORL,23,6'5,215,
Meyers Leonard,MIA,28,7'0,260,
Mfiondu Kabengele,LAC,22,6'9,250,
Michael Carter'Williams,ORL,28,6'5,190,
Michael Frazier,HOU,26,6'3,200,
Michael Kidd'Gilchrist,DAL,26,6'6,232,
Michael Porter Jr.,DEN,22,6'10,218,
Mikal Bridges,PHX,23,6'6,209,
Mike Conley,UTA,32,6'1,175,
Mike Muscala,OKC,28,6'10,240,
Mike Scott,PHI,31,6'7,237,
Miles Bridges,CHA,22,6'6,225,
Mitchell Robinson,NYK,22,7'0,240,
Miye Oni,UTA,22,6'5,206,
Mo Bamba,ORL,22,7'0,231,
Monte Morris,DEN,25,6'2,183,
Montrezl Harrell,LAC,26,6'7,240,
Moritz Wagner,WAS,23,6'11,245,
Moses Brown,POR,20,7'2,245,
Mychal Mulder,GSW,26,6'3,184,
Myles Turner,IND,24,6'11,250,
Nassir Little,POR,20,6'5,220,
Naz Mitrou'Long,IND,26,6'3,218,
Naz Reid,MIN,20,6'9,264,
Nemanja Bjelica,SAC,32,6'10,234,
Nerlens Noel,OKC,26,6'10,220,
Nickeil Alexander'Walker,NOP,21,6'5,205,
Nicolas Batum,CHA,31,6'9,230,
Nicolas Claxton,BKN,21,6'11,215,
Nicolo Melli,NOP,29,6'9,236,
Nigel Williams'Goss,UTA,25,6'2,190,
Nikola Jokic,DEN,25,7'0,284,
Nikola Vucevic,ORL,29,6'11,260,
Noah Vonleh,DEN,24,6'10,257,
Norman Powell,TOR,27,6'3,215,
Norvel Pelle,PHI,27,6'10,231,
OG Anunoby,TOR,22,6'7,232,
Omari Spellman,MIN,22,6'8,245,
Oshae Brissett,TOR,22,6'7,210,
Otto Porter Jr.,CHI,27,6'8,198,
P.J. Tucker,HOU,35,6'5,245,
P.J. Washington,CHA,21,6'7,230,
PJ Dozier,DEN,23,6'6,205,
Pascal Siakam,TOR,26,6'9,230,
Pat Connaughton,MIL,27,6'5,209,
Patrick Beverley,LAC,31,6'1,180,
Patrick McCaw,TOR,24,6'7,181,
Patrick Patterson,LAC,31,6'8,235,
Patty Mills,SAS,31,6'1,180,
Paul George,LAC,30,6'8,220,
Paul Millsap,DEN,35,6'7,257,
Paul Watson,TOR,25,6'6,210,
Quinn Cook,LAL,27,6'1,180,
Quinndary Weatherspoon,SAS,23,6'3,205,
RJ Barrett,NYK,20,6'6,214,
Rajon Rondo,LAL,34,6'1,180,
Raul Neto,PHI,28,6'1,180,
Rayjon Tucker,UTA,22,6'3,209,
Reggie Bullock,NYK,29,6'6,205,
Reggie Jackson,LAC,30,6'3,208,
Richaun Holmes,SAC,26,6'10,235,
Ricky Rubio,PHX,29,6'3,190,
Robert Covington,HOU,29,6'7,209,
Robert Williams III,BOS,22,6'8,237,
Robin Lopez,MIL,32,7'0,281,
Rodions Kurucs,BKN,22,6'9,228,
Rodney Hood,POR,27,6'8,208,
Rodney McGruder,LAC,28,6'4,205,
Romeo Langford,BOS,20,6'4,216,
Rondae Hollis'Jefferson,TOR,25,6'6,217,
Royce O'Neale,UTA,27,6'4,226,
Rudy Gay,SAS,33,6'8,250,
Rudy Gobert,UTA,28,7'1,258,
Rui Hachimura,WAS,22,6'8,230,
Russell Westbrook,HOU,31,6'3,200,
Ryan Anderson,HOU,32,6'9,240,
Ryan Arcidiacono,CHI,26,6'3,195,
Ryan Broekhoff,PHI,29,6'6,215,
Sekou Doumbouya,DET,19,6'8,230,
Semi Ojeleye,BOS,25,6'6,240,
Serge Ibaka,TOR,30,7'0,235,
Seth Curry,DAL,29,6'2,185,
Shabazz Napier,WAS,28,6'0,175,
Shai Gilgeous'Alexander,OKC,21,6'5,180,
Shake Milton,PHI,23,6'5,205,
Shamorie Ponds,HOU,22,6'1,180,
Shaquille Harrison,CHI,26,6'7,190,
Skal Labissiere,ATL,24,6'10,235,
Solomon Hill,MIA,29,6'6,226,
Spencer Dinwiddie,BKN,27,6'5,215,
Stanley Johnson,TOR,24,6'6,242,
Stanton Kidd,UTA,28,6'6,216,
Stephen Curry,GSW,32,6'3,185,
Sterling Brown,MIL,25,6'5,219,
Steven Adams,OKC,26,6'11,265,
Svi Mykhailiuk,DET,23,6'7,205,
T.J. McConnell,IND,28,6'1,190,
T.J. Warren,IND,26,6'8,220,
TJ Leaf,IND,23,6'10,222,
Tacko Fall,BOS,24,7'5,311,
Taj Gibson,NYK,35,6'9,232,
Talen Horton'Tucker,LAL,19,6'4,234,
Tariq Owens,PHX,25,6'10,205,
Taurean Prince,BKN,26,6'7,218,
Terance Mann,LAC,23,6'5,215,
Terence Davis,TOR,23,6'4,201,
Terrance Ferguson,OKC,22,6'6,190,
Terrence Ross,ORL,29,6'6,206,
Terry Rozier,CHA,26,6'1,190,
Thabo Sefolosha,HOU,36,6'6,215,
Thaddeus Young,CHI,32,6'8,235,
Thanasis Antetokounmpo,MIL,27,6'6,219,
Theo Pinson,NYK,24,6'5,212,
Thomas Bryant,WAS,22,6'10,248,
Thon Maker,DET,23,7'0,221,
Tim Frazier,DET,29,6'0,170,
Tim Hardaway Jr.,DAL,28,6'5,205,
Timothe Luwawu'Cabarrot,BKN,25,6'7,220,
Tobias Harris,PHI,27,6'8,226,
Tomas Satoransky,CHI,28,6'7,210,
Tony Bradley,UTA,22,6'10,248,
Tony Snell,DET,28,6'6,213,
Torrey Craig,DEN,29,6'7,221,
Trae Young,ATL,21,6'1,180,
Tremont Waters,BOS,22,5'10,175,
Treveon Graham,ATL,26,6'5,219,
Trevor Ariza,POR,35,6'8,215,
Trey Burke,DAL,27,6'0,185,
Trey Lyles,SAS,24,6'9,234,
Tristan Thompson,CLE,29,6'9,254,
Troy Brown Jr.,WAS,20,6'6,215,
Troy Daniels,DEN,28,6'4,200,
Ty Jerome,PHX,22,6'5,195,
Tyler Cook,DEN,22,6'8,255,
Tyler Herro,MIA,20,6'5,195,
Tyler Johnson,BKN,28,6'3,186,
Tyrone Wallace,MIN,26,6'5,198,
Tyson Chandler,HOU,37,7'0,235,
Tyus Jones,MEM,24,6'0,196,
Udonis Haslem,MIA,40,6'8,235,
Vic Law,ORL,24,6'7,201,
Victor Oladipo,IND,28,6'4,213,
Vince Carter,ATL,43,6'6,220,
Vincent Poirier,BOS,26,7'0,235,
Vlatko Cancar,DEN,23,6'8,236,
Wayne Ellington,NYK,32,6'4,207,
Wendell Carter Jr.,CHI,21,6'9,270,
Wenyen Gabriel,POR,23,6'9,205,
Wes Iwundu,ORL,25,6'6,195,
Wesley Matthews,MIL,33,6'4,220,
Will Barton,DEN,29,6'5,181,
William Howard,HOU,26,6'8,207,
Willie Cauley'Stein,DAL,26,7'0,240,
Willy Hernangomez,CHA,26,6'11,250,
Wilson Chandler,BKN,33,6'8,235,
Yogi Ferrell,SAC,27,6'0,178,
Yuta Watanabe,MEM,25,6'8,215,
Zach Collins,POR,22,6'11,250,
Zach LaVine,CHI,25,6'6,200,
Zach Norvell Jr.,LAL,22,6'5,205,
Zhaire Smith,PHI,21,6'3,205,
Zion Williamson,NOP,19,6'6,284,
Zylan Cheatham,NOP,24,6'5,220,
